SAIL PNO,Best Match Course,Highest Similarity Score,ADCBA.docx,ADCCO.docx,ADCEE.docx,ADCMES.docx,BFIP.docx,BRSR.docx,CDM.docx,CPS.docx,CRM.docx,ELEVATE.docx,EMPYM.pdf,EMPYM1.docx,EPE.pdf,EPE1.docx,EPIC.pdf,EPIC1.docx,HSPM.pdf,HSPM1.docx,IGNITE.docx,INSPIRE.docx,LPP.docx,LYM.docx,MCW.docx,NS.pdf,PPLM.docx,PRGMM.docx,PULSE.docx,RCF.docx,SO.docx,TOTO.docx,WOMEN.docx,WORKPLACE.docx
K000243,LPP.docx,0.5297,0.3269,0.3109,0.4238,0.333,0.3713,0.1184,0.3661,0.4337,0.3312,0.3542,0.316,0.307,0.4944,0.4504,0.2082,0.1184,0.511,0.5168,0.417,0.4368,0.5297,0.3799,0.3807,0.2976,0.4441,0.3231,0.3168,0.3681,0.2814,0.515,0.4082,0.4671
M000270,PRGMM.docx,0.5468,0.4271,0.4257,0.2977,0.2897,0.3728,0.1636,0.3487,0.3991,0.3947,0.2901,0.3774,0.3695,0.4083,0.3857,0.2242,0.1636,0.5106,0.5029,0.3403,0.3215,0.4096,0.2974,0.4098,0.4195,0.3787,0.5468,0.1954,0.3595,0.2791,0.4965,0.33,0.4149
M000359,MCW.docx,0.4946,0.2468,0.3283,0.4699,0.3046,0.2299,0.0673,0.3705,0.3971,0.256,0.3714,0.3221,0.3134,0.4338,0.3963,0.1319,0.0673,0.4141,0.4059,0.3613,0.358,0.4272,0.3655,0.4946,0.2755,0.4162,0.2836,0.3031,0.3239,0.2699,0.3492,0.3466,0.4244
K001439,PPLM.docx,0.3179,0.1198,0.1649,0.2026,0.1545,0.0826,0.1068,0.2919,0.2592,0.1474,0.1335,0.0966,0.0955,0.2684,0.2377,0.1585,0.1068,0.2629,0.2218,0.1128,0.2194,0.2154,0.2082,0.1275,0.1885,0.3179,0.0507,0.2792,0.2133,0.1329,0.143,0.2344,0.2096
K000196,EPE1.docx,0.4685,0.1319,0.3907,0.2599,0.2693,0.1825,0.1139,0.3593,0.3542,0.1988,0.3526,0.1715,0.1634,0.4572,0.4685,0.1677,0.1139,0.4279,0.386,0.2948,0.4258,0.4167,0.4482,0.3841,0.3592,0.4669,0.2009,0.3285,0.1931,0.216,0.4323,0.4528,0.4452
K000149,HSPM.pdf,0.4927,0.2193,0.3607,0.2566,0.276,0.2692,0.0281,0.378,0.4163,0.3563,0.3062,0.2526,0.2491,0.4768,0.4907,0.1102,0.0281,0.4927,0.4798,0.3399,0.4287,0.4801,0.3771,0.3306,0.2709,0.4757,0.2092,0.2497,0.3175,0.2522,0.4421,0.3932,0.477
K000295,PRGMM.docx,0.1579,-0.0041,0.0549,-0.02,0.0249,0.0504,0.0208,-0.0215,0.0893,0.0865,0.033,0.0531,0.0556,0.0304,0.0333,0.0106,0.0208,-0.0129,0.007,0.0925,0.0291,0.0098,-0.0234,0.0282,0.0431,0.0345,0.1579,0.0228,0.0474,-0.0099,-0.0092,0.0343,0.0194
K000260,TOTO.docx,0.4753,0.4495,0.31,0.2373,0.1855,0.4168,0.1306,0.2958,0.3534,0.2736,0.3192,0.3313,0.3292,0.3289,0.324,0.1696,0.1306,0.4172,0.3951,0.2355,0.241,0.2937,0.1864,0.3284,0.3464,0.3163,0.4752,0.197,0.3234,0.2251,0.4753,0.2292,0.3713
K000426,TOTO.docx,0.3699,0.2913,0.1811,0.1797,0.0933,0.2366,0.0556,0.1476,0.2535,0.0888,0.1751,0.2159,0.2114,0.1725,0.1529,0.0677,0.0556,0.1796,0.1638,0.1359,0.1022,0.1275,0.1042,0.2266,0.1503,0.2071,0.3142,0.1507,0.1647,0.1596,0.3699,0.0936,0.1915
K000203,HSPM.pdf,0.4106,0.1082,0.1928,0.1295,0.1964,0.2416,0.1322,0.3097,0.2239,0.1657,0.1601,0.2531,0.2501,0.3224,0.3233,0.166,0.1322,0.4106,0.4048,0.1836,0.2375,0.235,0.2014,0.2429,0.2193,0.2964,0.1826,0.1037,0.2071,0.1677,0.221,0.2378,0.3381
K002224,EPE1.docx,0.1912,0.0442,0.1739,0.0436,0.0978,0.0719,0.13,0.0656,0.1468,0.0646,0.1065,0.0822,0.0765,0.1301,0.1912,0.0967,0.13,0.1008,0.124,0.1447,0.1229,0.1213,0.0426,0.0798,-0.0373,0.0514,0.0211,0.0898,0.1661,-0.0206,0.0497,0.09,0.088
K002431,TOTO.docx,0.3077,0.1422,0.1181,0.1051,0.0646,0.1702,0.0419,0.1516,0.2307,0.1376,0.1126,0.0482,0.0399,0.2202,0.2347,0.0135,0.0419,0.2619,0.283,0.1803,0.15,0.1845,0.1705,0.1371,0.1637,0.1219,0.1449,0.1559,0.1867,0.1011,0.3077,0.1207,0.2453
